sample,Season,Place,Date,gc/µL in sample,rerun,conc,Date_Location,index_plot,week,year,amplicon,read_count,segment
barcode30,2022/2023,STEP Aire,2022_12_20,96.875,yes,96.875,2022_12_20-STEP Aire,"",51,,amp5,9,H1
barcode30,2022/2023,STEP Aire,2022_12_20,96.875,yes,96.875,2022_12_20-STEP Aire,"",51,,amp6,1,H1
barcode31,2022/2023,STEP Aire,2022_12_31,29.75,yes,29.75,2022_12_31-STEP Aire,"",52,,amp1,60,H1
barcode31,2022/2023,STEP Aire,2022_12_31,29.75,yes,29.75,2022_12_31-STEP Aire,"",52,,amp2,6558,H1
barcode31,2022/2023,STEP Aire,2022_12_31,29.75,yes,29.75,2022_12_31-STEP Aire,"",52,,amp3,6941,H1
barcode31,2022/2023,STEP Aire,2022_12_31,29.75,yes,29.75,2022_12_31-STEP Aire,"",52,,amp4,1378,H1
barcode31,2022/2023,STEP Aire,2022_12_31,29.75,yes,29.75,2022_12_31-STEP Aire,"",52,,amp5,1042,H1
barcode31,2022/2023,STEP Aire,2022_12_31,29.75,yes,29.75,2022_12_31-STEP Aire,"",52,,amp6,34,H1
barcode32,2022/2023,STEP Aire,2023_01_28,9.609,yes,9.609,2023_01_28-STEP Aire,"",04,2023,amp1,0,H1
barcode32,2022/2023,STEP Aire,2023_01_28,9.609,yes,9.609,2023_01_28-STEP Aire,"",04,2023,amp2,0,H1
barcode32,2022/2023,STEP Aire,2023_01_28,9.609,yes,9.609,2023_01_28-STEP Aire,"",04,2023,amp3,1,H1
barcode32,2022/2023,STEP Aire,2023_01_28,9.609,yes,9.609,2023_01_28-STEP Aire,"",04,2023,amp4,0,H1
barcode32,2022/2023,STEP Aire,2023_01_28,9.609,yes,9.609,2023_01_28-STEP Aire,"",04,2023,amp5,0,H1
barcode32,2022/2023,STEP Aire,2023_01_28,9.609,yes,9.609,2023_01_28-STEP Aire,"",04,2023,amp6,0,H1
barcode33,2022/2023,STEP Aire,2023_02_02,36.508000000000003,yes,36.508,2023_02_02-STEP Aire,"",05,2023,amp1,0,H1
barcode33,2022/2023,STEP Aire,2023_02_02,36.508000000000003,yes,36.508,2023_02_02-STEP Aire,"",05,2023,amp2,1,H1
